@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute class real
@data
125,256,6000,256,16,128,198
29,8000,32000,32,8,32,269
29,8000,32000,32,8,32,220
29,8000,32000,32,8,32,172
29,8000,16000,32,8,16,132
26,8000,32000,64,8,32,318
23,16000,32000,64,16,32,367
23,16000,32000,64,16,32,489
23,16000,64000,64,16,32,636
23,32000,64000,128,32,64,1144
320,256,6000,0,1,6,33
320,256,3000,4,1,3,27
320,512,5000,4,1,5,77
320,256,5000,4,1,6,27
25,1310,2620,131,12,24,274
25,1310,2620,131,12,24,368
50,2620,10480,30,12,24,32
50,2620,10480,30,12,24,63
56,5240,20970,30,12,24,106
64,5240,20970,30,12,24,208
50,500,2000,8,1,4,20
