@ATTRIBUTE attr_1 REAL
@ATTRIBUTE attr_2 REAL
@DATA
3.09536,944.703
7085.12,-35.7092
-0.9992,-1630.29
-911.441,773.078
241.731,7560.68
-119.537,2.2736
-2660.95,-433.524
-123.695,1941.99
6860.33,-201.832
-4.52787,-1532.07
-753.194,245.32
999.224,14462.1
-142.154,-0.913752
-731.094,-340.448
132.924,940.915
5378.68,-18.9255
-1.76827,-1687.99
-522.633,16.0978
959.193,1414.49
-26.4996,-5.48081
-1088.68,-1550.43
29.1164,3951.02
13755,-28.019
-103.128,-3484.2
-2196.22,160.362
1002.69,7608.35
-8.7507,1.70234
-621.526,-293.166
782.207,254.599
7415.56,-125.797
-39.4523,-1235.12
-2356.83,720.874
248.024,7126.08
-256.041,-5.13255
-1105.24,-431.671
464.536,87.7257
-897.564,-319.212
-0.00852906,-806.904
-363.595,438.37
-1550.25,6241.02
-151.575,-10.5713
-1239.56,-325.67
766.266,251.024
6711.55,-55.7515
-6.74434,-725.087
-558.193,467.441
90.7589,-756.549
-542.604,-2.40426
-957.415,-301.065
5.18747,15996.7
63713.1,30.4111
-7.04658,-1722.05
-468.298,48.2831
2000.66,14829.5
-92.931,1.91626
-240.551,30.6767
42.8972,1985.04
15276.6,-19.3335
6.80445,-415.691
-152.503,460.918
91.0649,177.844
-57.8166,-0.416038
-312.556,-128.685
98.1092,254.259
1823.14,-95.6046
1.89802,-185.546
-99.8149,53.7179
999.329,3947.9
-51.0519,1.86432
-81.8442,-29.3305
101.784,1994.07
3575.85,-63.1281
3.89529,-71.8738
-8.84895,46.2875
1993.78,7902.67
-40.1558,1.14191
-3.73313,51.864
810.042,1000.43
4999.77,-0.0683311
2.14011,1
20,105
256,2000
0,3
10,26
320,256
3000,4
1,3
27,320
256,3000
4,1
3,27
330,1000
2000,0
1,2
16,200
1000,4000
0,1
4,30
300,768
12000,6
6,24
50,480
96,512
0,1
1,6
38,8000
16000,64
4,8
100,25
1310,2620
131,12
24,368
200,1000
4000,0
1,4
30,250
1000,16000
1,1
8,50
810,1000
5000,0
1,1
20,200
1000,4000
0,1
4,30
140,2000
4000,8
1,20
35,140
2000,4000
8,1
20,35
110,3100
6200,0
6,64
76,140
2000,32000
32,1
54,189
50,2000
8000,8
1,6
56,140
2000,32000
32,1
54,189
110,3100
6200,0
6,64
76,140
2000,4000
8,1
20,35
50,4000
16000,64
5,10
111,64
5240,20970
30,12
24,208
38,8000
32000,64
8,24
326,26
16000,32000
64,16
24,465
40,8000
32000,64
8,24
277,38
8000,16000
64,4
8,100
810,1000
5000,0
1,1
20,330
1000,2000
0,1
2,16
810,1000
5000,0
1,1
20,1100
768,2000
0,1
1,13
105,256
2000,0
3,10
26,330
1000,2000
0,1
2,16
140,2000
4000,8
1,20
35,75
3000,8000
8,3
48,64
810,1000
5000,0
1,1
20,900
1000,1000
0,1
2,11
200,1000
4000,0
1,4
30,200
1000,4000
0,1
4,30
26,16000
32000,64
16,24
465,140
2000,4000
8,1
20,35
140,2000
4000,8
1,20
35,50
2000,8000
8,1
6,56
810,1000
5000,0
1,1
20,185
2000,16000
16,1
6,76
200,1000
4000,0
1,4
30,100
1000,8000
0,2
6,16
810,1000
5000,0
1,1
20,50
2000,8000
8,1
6,56
800,256
8000,0
1,4
20,900
1000,1000
0,1
2,11
