@ATTRIBUTE attr_1 REAL
@ATTRIBUTE attr_2 REAL
@ATTRIBUTE attr_3 REAL
@ATTRIBUTE attr_4 REAL
@ATTRIBUTE attr_5 REAL
@ATTRIBUTE attr_6 REAL
@ATTRIBUTE attr_7 REAL
@DATA
23,16000,64000,64,16,32,636
29,8000,32000,32,8,32,172
23,16000,32000,64,16,32,489
400,512,3500,4,1,6,40
200,512,16000,0,4,32,35
110,5000,5000,142,8,64,120
110,3100,6200,0,6,64,76
320,256,3000,4,1,3,27
25,1310,2620,131,12,24,368
64,5240,20970,30,12,24,208
50,1000,4000,8,3,5,26
50,2000,16000,8,3,6,60
810,1000,5000,0,1,1,20
700,256,2000,0,1,1,24
110,1000,12000,16,1,2,60
800,256,8000,0,1,4,20
75,2000,8000,64,1,38,144
105,256,2000,0,3,10,26
75,3000,8000,8,3,48,64
300,768,12000,6,6,24,50
180,768,12000,6,1,31,84
330,1000,2000,0,1,2,16
140,2000,4000,8,1,20,35
140,2000,32000,32,1,54,189
26,16000,32000,64,16,24,465
480,96,512,0,1,1,6
1100,768,2000,0,1,1,13
900,1000,1000,0,1,2,11
900,2000,4000,0,3,6,37
185,2000,16000,16,1,6,76
98,1000,8000,32,2,8,46
1500,768,2000,0,0,0,18
50,2000,8000,8,1,6,56
100,1000,8000,0,2,6,16
50,2000,16000,24,6,16,54
115,2000,4000,2,1,5,40
75,4000,16000,16,1,6,66
50,4000,16000,64,5,10,111
40,8000,32000,64,8,24,277
38,8000,32000,64,8,24,326
56,1000,4000,0,1,6,17
56,4000,12000,0,1,8,42
38,8000,16000,64,4,8,100
200,1000,4000,0,1,4,30
250,1000,16000,1,1,8,50
160,1000,8000,16,1,14,60
105,2000,4000,8,3,8,22
70,4000,12000,8,6,8,75
26,8000,32000,64,12,16,248
50,2000,32000,48,26,52,208
