@ATTRIBUTE attr_1 REAL
@ATTRIBUTE attr_2 REAL
@ATTRIBUTE attr_3 REAL
@ATTRIBUTE attr_4 REAL
@ATTRIBUTE attr_5 REAL
@ATTRIBUTE attr_6 REAL
@ATTRIBUTE attr_7 REAL
@DATA
200,512,8000,8,1,8,62
700,384,8000,0,1,1,24
60,2000,8000,65,1,8,92
140,1000,16000,16,1,3,138
200,1000,8000,0,1,2,36
110,1000,4000,16,1,2,26
50,4000,16000,65,1,8,138
220,1000,8000,16,1,2,71
800,256,8000,0,1,4,12
800,256,8000,0,1,4,14
350,64,64,0,1,4,10
800,256,8000,0,1,4,16
800,256,8000,0,1,4,22
125,512,1000,0,8,20,36
23,32000,64000,128,32,64,1144
75,2000,16000,64,1,38,144
75,2000,16000,128,1,38,259
90,256,1000,0,3,10,17
167,524,2000,8,4,15,19
105,1000,4000,0,3,24,32
105,2000,4000,8,3,19,32
75,2000,8000,8,3,24,62
143,512,5000,0,7,32,28
175,256,2000,0,3,24,22
300,768,3000,0,6,24,36
300,768,3000,6,6,24,44
143,1000,2000,0,5,16,31
300,768,4500,0,1,24,45
300,384,12000,6,1,24,53
300,192,768,6,6,24,36
29,8000,16000,32,8,16,132
330,1000,3000,0,2,4,16
300,1000,4000,8,3,64,38
300,1000,16000,8,2,112,38
143,1500,6300,0,5,32,30
330,1000,4000,0,3,6,22
140,2000,4000,0,3,6,29
140,2000,4000,0,4,8,40
143,3100,6200,0,5,20,33
140,2000,32000,32,1,20,134
140,2000,8000,32,1,54,66
140,2000,32000,32,1,54,141
143,2300,6200,0,6,64,61
140,2000,4000,8,1,20,22
57,4000,16000,1,6,12,132
57,4000,24000,64,12,16,237
26,8000,32000,64,8,32,318
26,16000,32000,64,8,24,465
26,8000,32000,0,8,24,277
26,8000,16000,0,8,16,185
320,128,6000,0,1,12,23
203,1000,2000,0,1,5,24
115,512,6000,16,1,6,45
1100,512,1500,0,1,1,7
320,512,2000,4,1,3,69
600,768,2000,0,1,1,16
400,2000,4000,0,1,1,32
400,4000,8000,0,1,1,32
320,256,6000,0,1,6,33
900,512,1000,0,1,2,11
900,1000,4000,4,1,2,18
900,1000,4000,8,1,2,22
23,16000,32000,64,16,32,367
225,2000,4000,8,3,6,40
225,2000,4000,8,3,6,34
180,2000,8000,8,1,6,50
320,512,5000,4,1,5,77
180,2000,16000,16,1,6,66
225,1000,4000,2,3,6,24
124,1000,8000,0,1,8,42
320,256,5000,4,1,6,27
125,2000,8000,0,2,14,52
480,512,8000,32,0,0,67
1500,768,1000,0,0,0,12
25,1310,2620,131,12,24,274
800,768,2000,0,0,0,20
50,2000,4000,0,3,6,27
50,2000,8000,8,3,6,45
30,8000,64000,96,12,176,915
50,2000,16000,24,1,6,70
50,2000,16000,24,1,6,80
50,8000,16000,48,1,10,136
50,2620,10480,30,12,24,32
100,1000,8000,24,2,6,26
100,1000,8000,24,3,6,32
50,2000,16000,12,3,16,45
50,2620,10480,30,12,24,63
50,2000,16000,24,6,16,65
150,512,4000,0,8,128,30
115,2000,8000,16,1,3,50
56,5240,20970,30,12,24,106
92,2000,8000,32,1,6,62
92,2000,8000,32,1,6,60
92,2000,8000,4,1,6,50
23,16000,64000,64,16,32,636
60,4000,16000,32,1,6,86
60,2000,16000,64,5,8,74
60,4000,16000,64,5,8,93
50,500,2000,8,1,4,20
72,4000,16000,64,8,16,143
72,2000,8000,16,6,8,105
40,8000,16000,32,8,16,214
50,1000,4000,8,1,5,29
35,8000,32000,64,8,24,370
38,16000,32000,128,16,32,510
48,4000,24000,32,8,24,214
50,2000,8000,8,1,5,71
30,16000,32000,256,16,24,510
112,1000,1000,0,1,4,8
84,1000,2000,0,1,6,12
23,32000,64000,128,32,64,1144
56,2000,6000,0,1,8,21
56,2000,8000,0,1,8,24
56,4000,8000,0,1,8,34
50,1000,8000,8,3,5,36
56,4000,16000,0,1,8,46
38,4000,8000,32,16,32,51
38,4000,8000,32,16,32,116
50,2000,16000,8,3,5,40
38,8000,24000,160,4,8,140
38,4000,16000,128,16,32,212
480,1000,4000,0,0,0,45
50,2000,16000,8,3,6,52
200,2000,8000,64,1,5,41
250,512,4000,0,1,7,25
250,512,4000,0,4,7,50
400,1000,3000,0,1,2,38
160,512,4000,2,1,5,30
160,512,2000,2,3,8,32
160,1000,4000,8,1,14,38
133,1000,12000,9,3,12,72
160,2000,8000,32,1,13,109
240,512,1000,8,1,3,6
240,512,2000,8,1,5,11
133,1000,8000,9,3,12,72
105,2000,6000,16,6,16,33
105,2000,8000,16,4,14,58
52,4000,16000,32,4,12,130
810,512,512,8,1,1,18
59,4000,12000,32,6,12,113
59,8000,16000,64,12,24,188
26,8000,24000,32,8,16,173
30,8000,64000,128,12,176,1150
26,8000,32000,128,24,32,405
116,2000,8000,32,5,28,70
50,2000,32000,24,6,26,114
320,512,8000,4,1,5,40
50,2000,32000,112,52,104,307
50,4000,32000,112,52,104,397
30,8000,64000,96,12,176,915
30,8000,64000,128,12,176,1150
180,262,4000,0,1,3,12
180,512,4000,0,1,3,14
180,262,4000,0,1,3,18
180,512,4000,0,1,3,21
124,1000,8000,0,1,8,42
98,1000,8000,32,2,8,46
125,2000,8000,0,2,14,52
480,512,8000,32,0,0,67
