@ATTRIBUTE attr_1 REAL
@ATTRIBUTE attr_2 REAL
@DATA
-52587.3,-316.621
-19602.1,-88.3708
-21599.1,7663.15
9867.07,-233.328
-2239.23,-3350.5
7291.94,3741.37
6604.08,1601.05
10414.3,-356.257
10513.3,767.496
-8233.36,-8.62284
9257.71,116.103
-2611.92,-1908.52
8297.41,-137.676
11386.7,-108.966
1511.32,-1879.19
5577.73,-1606.31
5134.23,88.7616
11380.4,-105.658
4885.74,1055.22
1571.23,-2105.08
1569.66,-2103.79
11197.4,613.249
9009.3,1083.96
-18105.6,-5897.78
-21598.9,7662.69
12865.3,108.186
11263.4,384.34
12171.8,859.475
9017.28,1079.78
-2610.65,-1908.93
5384.65,-881.499
11267.5,382.233
5134.83,87.0298
5384.97,-882.205
-2611.89,-1908.56
9009.01,1084.16
-3110.24,27.8561
-3110.95,29.0369
-19603,-86.3451
-19603.4,-85.4259
9257.86,115.867
763.149,1025.26
-4108.02,3901.64
9259.26,115.317
-2360.47,-2878.02
5385.19,-881.652
9009.06,1083.91
762.994,1025.83
-19602.9,-86.8029
-18106.7,-5896.85
