@ATTRIBUTE attr_1 REAL
@ATTRIBUTE attr_2 REAL
@DATA
5385.19,-881.652
5577.73,-1606.31
5134.23,88.7616
-2360.47,-2878.02
5385.19,-881.652
9257.86,115.867
-3110.95,29.0369
5385.19,-881.652
5577.73,-1606.31
5577.73,-1606.31
12865.3,108.186
5577.73,-1606.31
5577.73,-1606.31
12865.3,108.186
-52587.3,-316.621
-2611.89,-1908.56
-2611.89,-1908.56
12865.3,108.186
11380.4,-105.658
9257.86,115.867
9009.06,1083.91
5134.83,87.0298
8297.41,-137.676
11380.4,-105.658
10414.3,-356.257
10414.3,-356.257
11197.4,613.249
9259.26,115.317
1571.23,-2105.08
12865.3,108.186
-4108.02,3901.64
10513.3,767.496
9259.26,115.317
-2360.47,-2878.02
8297.41,-137.676
9259.26,115.317
9009.3,1083.96
9009.3,1083.96
6604.08,1601.05
-18105.6,-5897.78
5134.83,87.0298
-18105.6,-5897.78
6604.08,1601.05
9009.3,1083.96
-3110.95,29.0369
-8233.36,-8.62284
-19603.4,-85.4259
-21598.9,7662.69
-19603,-86.3451
-4108.02,3901.64
8297.41,-137.676
11197.4,613.249
8297.41,-137.676
11263.4,384.34
11380.4,-105.658
11197.4,613.249
9009.3,1083.96
4885.74,1055.22
8297.41,-137.676
12171.8,859.475
9259.26,115.317
9259.26,115.317
-21598.9,7662.69
9009.3,1083.96
9009.3,1083.96
5134.83,87.0298
8297.41,-137.676
-2610.65,-1908.93
9259.26,115.317
5384.97,-882.205
8297.41,-137.676
5134.83,87.0298
5577.73,-1606.31
12171.8,859.475
10513.3,767.496
11263.4,384.34
9009.06,1083.91
5134.83,87.0298
-52587.3,-316.621
-2611.92,-1908.52
-2611.92,-1908.52
-4108.02,3901.64
763.149,1025.26
5384.65,-881.499
5384.65,-881.499
-2611.89,-1908.56
762.994,1025.83
-2611.89,-1908.56
9259.26,115.317
5134.83,87.0298
-8233.36,-8.62284
5134.83,87.0298
5134.83,87.0298
5134.83,87.0298
-52587.3,-316.621
-3110.24,27.8561
-2611.89,-1908.56
-3110.95,29.0369
11380.4,-105.658
-3110.95,29.0369
5134.83,87.0298
-4108.02,3901.64
9257.71,116.103
-19603.4,-85.4259
-21599.1,7663.15
-8233.36,-8.62284
5134.83,87.0298
-21599.1,7663.15
12171.8,859.475
11197.4,613.249
-52587.3,-316.621
6604.08,1601.05
5134.83,87.0298
4885.74,1055.22
5384.97,-882.205
-3110.24,27.8561
4885.74,1055.22
4885.74,1055.22
-2611.92,-1908.52
-8233.36,-8.62284
-3110.95,29.0369
9259.26,115.317
-2611.92,-1908.52
5134.83,87.0298
9259.26,115.317
9259.26,115.317
9867.07,-233.328
9259.26,115.317
11380.4,-105.658
9259.26,115.317
1511.32,-1879.19
5134.23,88.7616
12865.3,108.186
11380.4,-105.658
5385.19,-881.652
6604.08,1601.05
5134.83,87.0298
-3110.95,29.0369
12865.3,108.186
762.994,1025.83
-4108.02,3901.64
-8233.36,-8.62284
-52587.3,-316.621
-19603.4,-85.4259
5134.83,87.0298
-18106.7,-5896.85
5385.19,-881.652
-18106.7,-5896.85
-18106.7,-5896.85
-52587.3,-316.621
-52587.3,-316.621
9867.07,-233.328
9259.26,115.317
9867.07,-233.328
9259.26,115.317
5384.97,-882.205
5384.65,-881.499
5134.83,87.0298
5577.73,-1606.31
